kartennr,objektnr,kennzeichen,marke,modell,netze,ladevorgaenge,energie_kwh,betrag_eur,eur_je_kwh,anteil_dc_pct,hinweis
154040,383320,P247PB,Polestar,Klasse E 3 - Polestar 2,6,20.0,702.2,469.28,0.668,87.0,
177762,342504,S41937C,Polestar,Klasse E 3 - Polestar 2,6,12.0,490.07,296.49,0.605,76.0,
146449,370697,WU18874G,VW,Klasse E 7 - VW ID.7 Tourer Pro S,6,10.0,384.62,248.41,0.646,51.0,
167759,315014,I36683J,SKODA,Klasse E 2 - ENYAQ 85x,6,12.0,318.29,215.86,0.678,52.0,
162236,326365,L54887V,VW,Klasse E 7 - VW ID.7 Tourer Pro S,3,11.0,293.65,186.75,0.636,14.0,
143972,386474,SL955AZ,BMW,Klasse E 6 - BMW iX3 - Inspiring,2,6.0,251.61,148.22,0.589,59.0,
170976,341245,K32354T,BMW,Klasse E 10 - BMW i4 xDrive40,2,6.0,191.95,117.28,0.611,54.0,
173695,378907,MD32157W,BMW,Klasse E 5 - BMW iX1 eDrive 20,6,7.0,129.22,73.26,0.567,22.0,
152556,372603,MD728XS,VW,ID.3 Pro,2,2.0,76.98,37.21,0.483,35.0,
175339,327460,W764FP,VW,Klasse E 7 - VW ID.7 Tourer Pro S,2,6.0,44.32,23.67,0.534,52.0,
