objektnr,kennzeichen,marke,modell,vertragsende,laufleistung_km,freikilometer,letzter_stichtag,letzter_km,tage_gelaufen,tage_gesamt,km_je_monat,prognose_km_vertragsende,mehrkilometer_prognose,hinweis
300074,WU93342D,SKODA,SUPERB,2031-06-03,140000.0,7500.0,2025-09-30,25326.0,270.0,2342.0,2852.0,219680.0,72180.0,ok
395932,WU87715Z,SKODA,SUPERB,2027-04-08,180000.0,7500.0,2025-09-30,179026.0,1271.0,1826.0,4282.0,257200.0,69700.0,ok
329256,S17651C,AUDI,A4,2028-11-28,185000.0,,2025-09-30,92500.0,672.0,1827.0,4185.0,251484.0,66484.0,ok
383320,P247PB,Polestar,Klasse E 3 - Polestar 2,2027-08-18,125000.0,7500.0,2025-06-30,59871.0,408.0,1187.0,4461.0,174184.0,41684.0,ok
392349,VB93879X,SKODA,SUBERB,2028-01-17,120000.0,7500.0,2025-09-30,71295.0,622.0,1461.0,3485.0,167463.0,39963.0,ok
342504,S41937C,Polestar,Klasse E 3 - Polestar 2,2028-08-04,105000.0,,2025-09-30,14740.0,118.0,1157.0,3797.0,144527.0,39527.0,ok
389733,G63913J,SKODA,Klasse 1 - Octavia,2027-01-21,105000.0,,2025-09-30,89717.0,832.0,1310.0,3278.0,141261.0,36261.0,ok
382240,VB614KF,VW,PASSAT VARIANT,2029-01-08,150000.0,10000.0,2025-06-30,22753.0,173.0,1461.0,3998.0,192151.0,32151.0,ok
318301,WU352WL,BMW,X3 30e,2028-03-30,65000.0,7500.0,2025-09-30,50568.0,915.0,1827.0,1680.0,100970.0,28470.0,ok
369163,MD645PB,AUDI,Klasse 7.1 - A4 Avant,2028-01-21,100000.0,,2025-09-30,52712.0,618.0,1461.0,2593.0,124615.0,24615.0,ok
303905,BN9252FJ,SEAT,ALHAMBRA,2027-03-14,130000.0,7500.0,2025-09-30,103214.0,931.0,1461.0,3370.0,161972.0,24472.0,ok
302757,P71229S,AUDI,Klasse 7.1 - A4 Avant,2026-03-18,85000.0,7500.0,2025-06-30,85679.0,743.0,1004.0,3506.0,115776.0,23276.0,ok
384939,G364BV,VW,PASSAT VARIANT,2028-06-11,110000.0,10000.0,2025-09-30,51885.0,568.0,1553.0,2777.0,141862.0,21862.0,ok
395673,KL99818C,MERCEDES,GLA 180,2027-02-23,100000.0,,2025-06-30,71127.0,858.0,1461.0,2520.0,121115.0,21115.0,ok
338427,W922SY,SEAT,ALHAMBRA,2028-04-30,200000.0,7500.0,2025-06-30,120254.0,1157.0,2192.0,3160.0,227828.0,20328.0,ok
397080,W94446E,PEUGEOT,508,2027-05-28,95000.0,10000.0,2025-09-30,84366.0,1282.0,1887.0,2001.0,124180.0,19180.0,ok
389593,I48729X,BMW,320d xDrive,2028-12-11,135000.0,,2025-06-30,21205.0,201.0,1461.0,3207.0,154132.0,19132.0,ok
321319,GU981EA,VW,MULTIVAN,2027-06-18,135000.0,,2025-09-30,86401.0,835.0,1461.0,3146.0,151176.0,16176.0,ok
326365,L54887V,VW,Klasse E 7 - VW ID.7 Tourer Pro S,2027-04-06,215000.0,7500.0,2025-09-30,153192.0,998.0,1551.0,4666.0,238077.0,15577.0,ok
374364,MD753MA,VW,Klasse 3 - Passat,2030-03-09,135000.0,7500.0,2025-09-30,40666.0,570.0,2191.0,2169.0,156314.0,13814.0,ok
313396,G97367M,SKODA,OCTAVIA,2028-12-16,115000.0,7500.0,2025-09-30,48155.0,654.0,1827.0,2238.0,134525.0,12025.0,ok
347400,K484HH,SEAT,ALHAMBRA,2027-07-05,155000.0,,2025-09-30,108143.0,1183.0,1826.0,2779.0,166922.0,11922.0,ok
360142,I81342N,VW,PASSAT Siemens Edition,2028-01-20,75000.0,,2025-09-30,26610.0,375.0,1217.0,2157.0,86358.0,11358.0,ok
354987,VB127NN,OPEL,INSIGNIA,2025-11-25,60000.0,7500.0,2025-09-30,75007.0,1224.0,1280.0,1863.0,78439.0,10939.0,ok
314592,W45678C,SEAT,LEON Kombi,2025-03-08,75000.0,10000.0,2024-12-31,88601.0,1029.0,1096.0,2618.0,94370.0,9370.0,ok
312676,WU31855P,AUDI,A4 AVANT 35 TDI s Line,2028-07-15,85000.0,10000.0,2025-09-30,32720.0,472.0,1491.0,2107.0,103359.0,8359.0,ok
310458,L68381H,SKODA,Klasse 1 - Octavia,2026-08-17,90000.0,10000.0,2025-06-30,73145.0,895.0,1308.0,2484.0,106898.0,6898.0,ok
349797,G251NB,VW,PASSAT,2026-01-04,110000.0,10000.0,2025-09-30,115355.0,1000.0,1096.0,3507.0,126429.0,6429.0,ok
394329,BN29862B,BMW,X1 16d sDrive,2030-01-12,165000.0,,2025-09-30,24366.0,261.0,1826.0,2838.0,170469.0,5469.0,ok
334993,SL578YH,SKODA,SUPERB,2028-04-09,145000.0,10000.0,2025-09-30,57727.0,539.0,1461.0,3256.0,156473.0,1473.0,ok
306006,L9258XK,VW,MULTIVAN,2027-04-09,65000.0,7500.0,2025-06-30,40953.0,813.0,1461.0,1531.0,73595.0,1095.0,ok
355333,L37671U,OPEL,ZAFIRA WF,2028-02-10,150000.0,7500.0,2025-06-30,54337.0,506.0,1461.0,3265.0,156890.0,-610.0,ok
370284,KL891DY,SKODA,Klasse 1 - Octavia,2031-09-04,120000.0,10000.0,2025-09-30,9515.0,179.0,2344.0,1616.0,124599.0,-5401.0,ok
372357,S193RF,VW,Klasse 4.1 - Touran,2027-05-21,95000.0,10000.0,2025-09-30,46572.0,527.0,1125.0,2687.0,99418.0,-5582.0,ok
399061,W11342J,VW,PASSAT VARIANT,2027-10-22,55000.0,7500.0,2025-09-30,16276.0,312.0,1064.0,1586.0,55505.0,-6995.0,ok
301504,I93585C,BMW,Klasse 9 - X3 20d xDrive,2028-10-11,80000.0,7500.0,2025-09-30,19491.0,354.0,1461.0,1674.0,80442.0,-7058.0,ok
386673,W85596R,MERCEDES,A 200d,2027-11-07,30000.0,7500.0,2025-09-30,12301.0,541.0,1309.0,691.0,29763.0,-7737.0,ok
338469,MD687XR,VW,PASSAT VARIANT,2028-01-16,110000.0,,2025-06-30,27889.0,349.0,1279.0,2429.0,102206.0,-7794.0,ok
390422,W95412F,SKODA,KODIAQ,2026-03-22,80000.0,7500.0,2025-09-30,67089.0,923.0,1096.0,2210.0,79664.0,-7836.0,ok
379507,P446KG,PEUGEOT,508 SW,2029-03-08,185000.0,7500.0,2025-09-30,63178.0,662.0,1917.0,2901.0,182949.0,-9551.0,ok
371482,W26765M,SKODA,Klasse 1 - Octavia,2027-09-10,100000.0,7500.0,2025-09-30,59519.0,1147.0,1857.0,1577.0,96362.0,-11138.0,ok
307592,S718EY,AUDI,A4 AVANT,2027-04-08,190000.0,7500.0,2025-09-30,115443.0,906.0,1461.0,3874.0,186161.0,-11339.0,ok
306175,W25865Z,OPEL,ASTRA,2026-06-21,160000.0,,2025-09-30,111314.0,832.0,1096.0,4067.0,146635.0,-13365.0,ok
362296,KL69936X,VW,PASSAT VARIANT,2028-05-06,40000.0,10000.0,2025-09-30,12671.0,512.0,1461.0,752.0,36157.0,-13843.0,ok
320379,GU458PU,BMW,X3 30e,2026-04-03,100000.0,,2025-09-30,74524.0,1276.0,1461.0,1775.0,85329.0,-14671.0,ok
350019,P787WJ,BMW,418d,2028-02-03,70000.0,7500.0,2025-09-30,13303.0,239.0,1095.0,1692.0,60949.0,-16551.0,ok
391924,KL379SB,BMW,X1,2028-09-06,210000.0,10000.0,2025-09-30,54036.0,389.0,1461.0,4223.0,202948.0,-17052.0,ok
303278,K9012D,SKODA,SUPERB,2024-09-02,185000.0,,2024-06-30,157689.0,1185.0,1249.0,4045.0,166206.0,-18794.0,ok
312280,KL76516C,BMW,Klasse 5 - X1 16d sDrive,2026-03-10,105000.0,10000.0,2025-09-30,83043.0,1025.0,1186.0,2463.0,96087.0,-18913.0,ok
386474,SL955AZ,BMW,Klasse E 6 - BMW iX3 - Inspiring,2028-02-06,115000.0,10000.0,2025-09-30,15262.0,147.0,1006.0,3156.0,104446.0,-20554.0,ok
352581,W865TF,OPEL,Klasse 2 - Astra,2026-10-29,75000.0,10000.0,2025-06-30,34864.0,610.0,1096.0,1737.0,62641.0,-22359.0,ok
384259,S18937H,BMW,320d,2029-03-26,190000.0,,2025-09-30,21374.0,188.0,1461.0,3456.0,166103.0,-23897.0,ok
369352,LL34678W,BMW,X2,2026-04-30,205000.0,,2025-09-30,154450.0,1249.0,1461.0,3759.0,180666.0,-24334.0,ok
335093,W399KG,VW,PASSAT VARIANT,2028-05-20,125000.0,10000.0,2025-09-30,29034.0,345.0,1308.0,2558.0,110077.0,-24923.0,ok
