objektnr,kennzeichen,marke,antrieb,tankungen,liter,kraftstoff_eur,rabatt_eur,sonstiges_eur,summe_eur,km_min,km_max
320926,W81162P,VW,Diesel,8,287.97,464.15,-7.86,0.53,456.82,163949.0,166975.0
312280,KL76516C,BMW,Diesel,7,284.91,441.19,-6.68,12.0,446.51,76405.0,78823.0
358878,W867XW,SKODA,Diesel,7,255.83,408.39,-6.71,,401.68,57270.0,60433.0
391924,KL379SB,BMW,Diesel,7,254.77,395.02,-6.39,4.64,393.27,20751.0,23337.0
312676,WU31855P,AUDI,Diesel,7,251.74,394.05,-7.17,0.5,387.38,19529.0,23543.0
349735,VB78811F,SKODA,Diesel,5,224.91,357.85,-6.28,18.3,369.87,42389.0,44310.0
364686,K134PU,BMW,Diesel,5,208.71,324.89,-5.57,44.5,363.82,83461.0,86355.0
332325,W63812S,MERCEDES,Diesel,5,203.75,321.91,-5.08,9.26,326.09,22262.0,24952.0
372357,S193RF,VW,Diesel,5,193.76,316.99,-5.91,0.5,311.58,32286.0,36147.0
308326,VB17131W,FORD,Hybrid,5,178.51,289.33,-5.24,8.0,292.09,103458.0,105673.0
311395,WU613EV,SKODA,Diesel,6,167.32,274.82,-4.73,5.23,275.32,62801.0,66737.0
390422,W95412F,SKODA,Diesel,5,154.16,257.33,-4.46,17.24,270.11,9490.0,53469.0
354987,VB127NN,OPEL,Diesel,4,167.96,260.73,-3.49,8.47,265.71,66247.0,68075.0
300074,WU93342D,SKODA,Diesel,6,152.48,235.47,-4.18,15.46,246.75,6798.0,10629.0
303278,K9012D,SKODA,Diesel,5,129.21,206.74,-3.52,18.33,221.55,172342.0,174532.0
355302,KL25881B,OPEL,Diesel,4,123.08,183.83,-3.05,0.5,181.28,21703.0,23713.0
398419,I213RF,SKODA,Diesel,2,84.68,127.14,-2.32,23.02,147.84,61909.0,62374.0
397080,W94446E,PEUGEOT,Diesel,3,71.43,109.25,-1.97,21.62,128.9,67739.0,68014.0
369822,BN387UF,SKODA,Diesel,2,78.5,120.86,-2.14,0.51,119.23,39116.0,39627.0
301504,I93585C,BMW,Benzin,2,60.63,94.63,-1.31,15.88,109.2,44851.0,45231.0
307592,S718EY,AUDI,Diesel,1,40.61,65.38,-1.03,2.45,66.8,86675.0,86675.0
386474,SL955AZ,BMW,Elektro,0,,,,30.23,30.23,,
303905,BN9252FJ,SEAT,Diesel,1,18.57,28.23,-0.34,0.5,28.39,74128.0,74128.0
326365,L54887V,VW,Elektro,0,,,,8.98,8.98,,
327460,W764FP,VW,Elektro,0,,,,0.93,0.93,,
