rechnungsnr;datum;lieferant;kennzeichen;netto_eur;mwst_pct
R-2025-0001;2025-06-04;Reifen Maier;G 123AB;123,02;20
R-2025-0002;2025-02-05;Glas Berger;G-123AB;1346,73;20
R-2025-0003;2025-05-14;Werkstatt Huber;G 123AB;134,67;20
R-2025-0004;2025-02-17;Glas Berger;G 123AB;1115,47;20
R-2025-0005;2025-06-21;Lackierung Novak;G 123AB;1286,28;20
R-2025-0006;2025-04-19;Werkstatt Huber;G 123AB;558,49;20
R-2025-0007;2025-06-14;Auto Schmidt GmbH;G 123AB;665,23;20
R-2025-0008;2025-03-04;Werkstatt Huber;W-45678C;239,52;20
R-2025-0009;2025-03-20;Werkstatt Huber;W 45678C;534,98;20
R-2025-0010;2025-05-04;Lackierung Novak;G-123AB;1753,76;20
R-2025-0011;2025-05-10;Glas Berger;W-45678C;1506,58;20
R-2025-0012;2025-05-07;Werkstatt Huber;G 123AB;1291,86;20
R-2025-0013;2025-03-03;Werkstatt Huber;W 45678C;1551,15;20
R-2025-0014;2025-03-15;Reifen Maier;G 123AB;1173,38;20
R-2025-0015;2025-03-12;Reifen Maier;G-123AB;440,35;20
R-2025-0016;2025-05-21;Auto Schmidt GmbH;G 123AB;374,36;20
R-2025-0017;2025-04-13;Glas Berger;G 123AB;544,31;20
R-2025-0018;2025-06-11;Werkstatt Huber;G 123AB;1529,71;20
R-2025-0019;2025-01-26;Reifen Maier;G-123AB;622,58;20
R-2025-0020;2025-02-19;Reifen Maier;G 123AB;1587,35;20
R-2025-0007 ;2025-06-14;Auto Schmidt GmbH;G 123AB;665,23;20
R-2025-0021;2025-07-03;Reifen Maier;K-9012D;;20
