beleg,seite,kennzeichen,objektnr,datum,anbieter,kartennr,station,position,km_stand,liter,preis_je_liter,kraftstoff,betrag_eur
46/00133,2,W 94446E,397080,2025-03-09,DKV,2493594,VILLACH,Kraftstoff,,11.34,1.46,Diesel,16.56
46/00133,2,W 94446E,397080,2025-03-09,DKV,2493594,VILLACH,Tankstellenrabatt,,,,,-0.23
46/00133,2,W 94446E,397080,2025-03-17,DKV,2493594,GRAZ WEST,Kraftstoff,67739,40.56,1.51,Diesel,61.25
46/00133,2,W 94446E,397080,2025-03-17,DKV,2493594,GRAZ WEST,Tankstellenrabatt,,,,,-1.14
46/00133,2,W 94446E,397080,2025-03-19,OMV,2492101,BRUCK/MUR,Kraftstoff,68014,19.53,1.61,Diesel,31.44
46/00133,2,W 94446E,397080,2025-03-19,OMV,2492101,BRUCK/MUR,Tankstellenrabatt,,,,,-0.6
46/00133,2,W 94446E,397080,2025-03-05,DKV,2493594,ASFINAG,Maut,,,,,5.39
46/00133,2,W 94446E,397080,2025-03-29,DKV,2493595,DKV EURO S,Bearb.Kosten Tankstelle,,,,,0.5
46/00133,2,W 94446E,397080,2025-03-22,OMV,2492101,GRAZ WEST,KFZ-Reinigung,,,,,15.73
46/00133,3,VB 78811F,349735,2025-03-04,OMV,2492101,GRAZ WEST,Kraftstoff,,42.96,1.44,Diesel,61.86
46/00133,3,VB 78811F,349735,2025-03-04,OMV,2492101,GRAZ WEST,Tankstellenrabatt,,,,,-1.22
46/00133,3,VB 78811F,349735,2025-03-10,DKV,2493594,HOF,Kraftstoff,42389,45.17,1.63,Diesel,73.63
46/00133,3,VB 78811F,349735,2025-03-10,DKV,2493594,HOF,Tankstellenrabatt,,,,,-0.96
46/00133,3,VB 78811F,349735,2025-03-16,SHELL,2495185,AMSTETTEN,Kraftstoff,43446,41.37,1.51,Diesel,62.47
46/00133,3,VB 78811F,349735,2025-03-16,SHELL,2495185,AMSTETTEN,Tankstellenrabatt,,,,,-1.36
46/00133,3,VB 78811F,349735,2025-03-22,DKV,2493594,NEUMARKT/W,Kraftstoff,43630,48.59,1.72,Diesel,83.57
46/00133,3,VB 78811F,349735,2025-03-22,DKV,2493594,NEUMARKT/W,Tankstellenrabatt,,,,,-1.1
46/00133,3,VB 78811F,349735,2025-03-29,SHELL,2495185,VILLACH,Kraftstoff,44310,46.82,1.63,Diesel,76.32
46/00133,3,VB 78811F,349735,2025-03-29,SHELL,2495185,VILLACH,Tankstellenrabatt,,,,,-1.64
46/00133,3,VB 78811F,349735,2025-03-28,DKV,2493594,ASFINAG,Maut,,,,,9.4
46/00133,3,VB 78811F,349735,2025-03-07,DKV,2493594,ASFINAG,Maut,,,,,8.9
46/00133,4,W 81162P,320926,2025-03-02,OMV,2492101,HOF,Kraftstoff,163949,42.85,1.96,Diesel,83.99
46/00133,4,W 81162P,320926,2025-03-02,OMV,2492101,HOF,Tankstellenrabatt,,,,,-1.19
46/00133,4,W 81162P,320926,2025-03-06,DKV,2493594,ANNENHEIM,Kraftstoff,164542,48.28,1.67,Diesel,80.63
